"","start_temp","outside_temp","SA_temp","rate"
"2205",15.3,14.3,15.7,-0.00666666666666676
"2206",15.2,14.4,15.6,-0.00666666666666664
"2208",15.1,14.6,15.2,-0.00666666666666664
"2212",15,14.4,14.8,-0.00666666666666664
"2214",14.9,14.8,14.6,0.00666666666666664
"2215",15,15,14.5,-0.00666666666666664
"2216",14.9,15.1,14.5,0.00666666666666664
"2218",20.8,14.6,23.3,-0.0666666666666667
"2219",19.8,14.6,23.3,-0.0600000000000001
"2220",18.9,14.6,21.9,-0.0533333333333331
"2221",18.1,14.3,20.9,-0.0266666666666668
"2222",17.7,14.4,20.2,-0.02
"2223",17.4,14.2,19.7,-0.0199999999999998
"2224",17.1,14.8,19.3,-0.0133333333333335
"2225",16.9,14.5,18.9,-0.0133333333333333
"2226",16.7,15.1,18.7,-0.0133333333333333
"2228",16.5,14.6,18.1,-0.00666666666666676
"2229",16.4,14.9,17.9,-0.00666666666666652
"2231",16.3,14.2,17.5,-0.00666666666666676
"2232",16.2,14.6,17.3,-0.0133333333333333
"2237",16,14.3,16.5,-0.00666666666666664
"2239",15.9,13.9,16.3,-0.00666666666666664
"2240",15.8,14.2,16.2,-0.0133333333333334
"2242",15.6,13.9,16,-0.00666666666666664
"2243",15.5,13.6,15.9,-0.00666666666666664
"2244",15.4,13.2,15.8,-0.00666666666666664
"2245",15.3,13.1,15.7,-0.00666666666666676
"2246",15.2,13.7,15.7,0.00666666666666676
"2247",15.3,13.6,15.8,0.00666666666666664
"2248",15.4,14.4,16,-0.00666666666666664
"2249",15.3,14.1,15.8,-0.00666666666666676
"2250",15.2,14.3,15.7,0.00666666666666676
"2251",15.3,14.9,15.7,0.00666666666666664
"2252",20.7,20,21.7,-0.02
"2253",20.4,20.3,21.3,-0.0266666666666666
"2254",20,20.1,21.3,-0.02
"2255",19.7,20.2,21.3,-0.02
"2256",19.4,20.3,21.2,-0.0133333333333333
"2257",19.2,20.2,21.1,-0.00666666666666652
"2259",19.1,20,20.9,-0.0133333333333335
"2260",18.9,20,20.7,-0.00666666666666652
"2261",18.8,20.1,20.6,-0.00666666666666676
"2263",18.7,20.2,20.3,-0.00666666666666652
"2264",18.6,20.6,20.2,0.00666666666666652
"2267",18.7,21,20.1,-0.00666666666666652
"2271",18.6,20.2,19.9,-0.00666666666666676
"2272",21.1,12,21.3,-0.14
"2273",19,11.8,21.2,-0.113333333333333
"2274",17.3,11.8,20.6,-0.0600000000000001
"2275",16.4,11.5,19.6,-0.0466666666666666
"2276",15.7,11.3,18.8,-0.0266666666666666
"2277",15.3,11,18.1,-0.0266666666666667
"2278",14.9,10.8,17.6,-0.02
"2279",14.6,10.8,17.1,-0.0133333333333333
"2280",14.4,10.5,16.7,-0.02
"2282",14.1,10.2,15.9,-0.0199999999999999
"2283",13.8,10.1,15.5,-0.00666666666666676
"2284",13.7,9.8,15.2,-0.0133333333333333
"2285",13.5,10,14.9,-0.0133333333333333
"2286",13.3,9.6,14.5,-0.00666666666666676
"2287",13.2,9.5,14.2,-0.0133333333333333
"2288",13,9.4,13.9,-0.00666666666666664
"2289",12.9,9,13.7,-0.0133333333333334
"2290",12.7,8.7,13.4,-0.00666666666666664
"2291",12.6,8.7,13.2,-0.00666666666666664
"2292",12.5,8.8,13,-0.00666666666666664
"2293",12.4,8.3,12.8,-0.00666666666666664
"2294",12.3,8.4,12.6,-0.00666666666666676
"2295",12.2,8.1,12.5,-0.00666666666666664
"2296",12.1,8.1,12.3,-0.00666666666666664
"2298",12,8.1,12.1,-0.0133333333333333
"2299",11.8,8,12,-0.00666666666666676
"2300",11.7,7.7,12,-0.00666666666666664
"2303",11.6,7.4,11.6,-0.0199999999999999
"2305",11.3,7.5,11.3,0.00666666666666664
"2306",11.4,7.4,11.3,-0.00666666666666664
"2308",11.3,7.4,11.3,-0.00666666666666676
"2309",11.2,7.5,11.3,-0.00666666666666664
"2310",11.1,7.4,11.3,-0.00666666666666664
"2311",21.2,15.6,21.7,-0.106666666666667
"2312",19.6,15.6,21.5,-0.0800000000000002
"2313",18.4,15.4,21.3,-0.0466666666666666
"2314",17.7,14.8,20.8,-0.0333333333333333
"2315",17.2,14.6,20.2,-0.0333333333333333
"2316",16.7,14.2,19.7,-0.0266666666666666
"2317",16.3,13.7,19.3,-0.00666666666666676
"2318",16.2,13.6,18.8,-0.00666666666666652
"2319",16.1,13.3,18.5,-0.0133333333333334
"2320",15.9,13.2,18.2,-0.00666666666666664
"2321",15.8,13,17.9,-0.0133333333333334
"2323",15.6,12.9,17.3,-0.0133333333333333
"2324",15.4,12.7,17,-0.0133333333333334
