"","start_temp","outside_temp","SA_temp","rate"
"140",19.1,10.7,23.1,0.0399999999999999
"142",10.8,8.2,11.1,0.326666666666667
"143",15.7,8.3,18.8,0.0866666666666667
"145",9.6,5.6,9.7,0.2
"146",12.6,5.8,15.4,0.2
"147",15.6,5.6,19.4,0.06
"148",16.5,5.6,20.2,0.0333333333333333
"150",9.7,6.2,10.6,0.273333333333333
"151",13.8,6.6,16,0.133333333333333
"152",15.8,6.8,18.3,0.0333333333333333
"153",16.3,6.9,17.9,0.0399999999999999
"155",11.5,8.5,12,0.32
"156",16.3,8.5,20.4,0.14
"157",18.4,8.7,22.2,0.0533333333333334
"159",12.2,9.6,11.5,0.246666666666667
"160",15.9,9.9,20.8,0.146666666666667
"161",18.1,10,22.5,0.0666666666666667
"162",19.1,10.3,23.3,0.0333333333333333
"164",10.6,8.8,9.5,0.16
"165",13,8.9,16.5,0.2
"166",16,9.1,20.4,0.0733333333333334
"167",17.1,9,21.3,0.0466666666666666
"168",17.8,9.3,21.9,0.0399999999999999
"170",11.1,8.4,10.6,0.3
"171",15.6,8.7,19,0.0933333333333334
"173",12.9,10.8,12.6,0.213333333333333
"174",16.1,10.9,20.8,0.153333333333333
"175",18.4,10.7,22.5,0.0466666666666669
"176",19.1,10.8,23.2,0.0466666666666666
"178",14.6,14.9,14.3,0.16
"179",17,14.8,20.4,0.193333333333333
"180",19.9,14.8,23.6,0.0400000000000001
"182",14,11.3,14.2,0.2
"183",17,11.5,20,0.18
"184",19.7,11.8,23.3,0.0533333333333334
"186",13.2,10.8,12.7,0.273333333333333
"187",17.3,11,22,0.133333333333333
"188",19.3,10.9,23.6,0.0599999999999999
"190",14.8,15.1,14.5,0.126666666666667
"191",16.7,15.2,20.5,0.193333333333333
"192",19.6,15,23.9,0.0533333333333331
"194",15.3,14.1,14.9,0.153333333333333
"195",17.6,13.8,21,0.18
"197",14.7,13.2,14.4,0.193333333333333
"198",17.6,13.3,22.4,0.14
"199",19.7,13.2,23.8,0.0466666666666666
"201",14.1,12,13.7,0.273333333333333
"202",18.2,12,22.6,0.126666666666667
"204",11.7,9.3,10.9,0.233333333333333
"205",15.2,9.4,17.9,0.18
"206",17.9,9.8,21.6,0.0733333333333334
"207",19,9.9,22.8,0.0400000000000001
"209",10.7,8.3,10.3,0.246666666666667
"210",14.4,8.5,17.7,0.186666666666667
"211",17.2,8.6,21.6,0.0733333333333334
"212",18.3,9,22.5,0.0466666666666666
"214",10.7,8.8,9.6,0.2
"215",13.7,8.6,18.8,0.16
"216",16.1,8.6,20.7,0.0599999999999999
"217",17,8.3,21.4,0.0466666666666666
"218",17.7,8.5,21.8,0.0333333333333333
